coroner_name,count
Mr Jonathan David Leach,4
Mr Mr P J Bennett,4
Mr James Newman,4
Richard A Hulett,4
Miss Kirsty Gomersal,4
Mr Robert Cohen,4
Miss Miss Briony Ballard,4
Miss Sarah Murphy,4
Mr Rob Turnbull,4
Miss Sophie Cartwright KC,4
Mr Stephen Covell,4
Ms Kate Robertson,4
Mr Stephen George Eccleston,4
Mr Peter Sigee,4
Mr David Pojur,4
Mr Dewi Pritchard Jones,4
Mr Heath Westerman,4
Mr Paul Kelly,4
Mr Sheriff S Payne,3
Mr Nicholas Graham,3
Mr Neil Cameron,3
Ms Catherine Cundy,3
Ms Deborah Archer,3
Mrs Sarah L. Whitby,3
Mr Philip Anthony Holden,3
Mrs Lauren Costello,3
Mrs Anita Bhardwaj,3
Mrs kirsten heaven,3
Ms Allison SUMMERS,3
Mr Thomas Richard Geoffrey Leeper,3
Mr Scott Matthewson,3
Mrs Samantha Goward,3
Gail Elliman,3
Anthony Howard,3
Mr Adam Smith,3
Dr Leslie Hamilton,3
Ms Rebecca Margaret COBB,3
Miss Fiona Butler,3
Claire Hammond,3
Claire Balysz,3
Christopher Sutton-Mattocks,3
Christina Swann,3
Richard Furniss,3
Mr Delroy Henry,3
Miss Lorna Jane Skinner QC,3
Miss Karin Elizabeth Welsh,3
HHJ Mark Lucraft QC,3
Ms Gemma Brannigan,3
Mr Graham Rollason Danbury,3
Ms Katy Ainge,3
Ms Kally Cheema,3
Philip Sharp,3
Ms Heather Williams,3
Andrew Thompson,3
Ms Gilva Dagmar Jane Tisshaw,3
Dr Peter Henry Straker,2
Dr Rashid Sohail,2
Sara Lewis,2
Rosemary Jane Baxter,2
Paul O'Donnell,2
Raymond Curtis,2
Mr Tom Stoate,2
Ian Boyes,2
Ms Elizabeth Gray,2
David Skipp,2
Dr Murray James Spittal,2
Mrs Catharine Palmer,2
Mrs Claire Welch,2
Mrs Deborah Suzanne Rookes,2
Dr Edward Patrick Morgan KC,2
Jenny Goldring,2
Timothy H Ratcliffe,2
William Coverdale,2
William R Morris,2
Mrs LINDA KAREN HADFIELD LEE,2
Anthony Eastwoods,2
Anthony Curzon,2
Angela Hodes,2
Mrs Rebecca Ollivere,2
Mrs Rosamund Rhodes-Kemp,2
Janet Napier,2
Wm J Armstrong OBE,2
Mr Gareth Lewis,2
Mr Peter Taheri,2
Miss Sarah Watson,2
Mr Nicholas H Lane,2
Mr Darren Stewart OBE,2
Miss Sarah Riley,2
Miss Sabyta Kaushal,2
Miss Janine Wolstenholme,2
Miss Janine Richards,2
Mr David Heming,2
Mr Duncan James Ritchie,2
Mr Christopher Briggs,2
Miss Georgina Nolan,2
Ms Angharad Davies,2
Mr Alan James Blunsdon,2
Michael Oakley,2
Mr RAVI SIDHU,2
Mr Andrew David Cousins,2
Mr Anthony Mazzag,2
Ms Vanessa McKinlay,2
Maria Mulrennan,2
Mr Lincoln Brookes,2
Karon Monaghan,2
Ms Fiona King,2
Julian Fox,2
John Woolley,2
Pail O'Donnell,1
Ms Marianne Johnson,1
Ms Leila Benyounes,1
Ms Leanne Woods,1
Ms Katrina Hepburn,1
Ms Jan Alam,1
Ms Myfanwy Buckeridge,1
Siobhan Kelly,1
Trevor Kirkland,1
Sir Peter Thornton QC,1
Simon Ward,1
Simon Allen,1
Sian Scott Jones,1
Sarah Huntbach,1
Samuel James Faulks,1
Ms Sophie Lomas,1
Ms Amy Street,1
Ms Susan Ridge,1
Rachael Griffith,1
N G Gardiner,1
Philip Rogers,1
Neil Joseph Cronin,1
Alison Longhorn,1
Mrs Jo Wharton,1
Laura Wendy Johnson,1
Henrietta Hills QC,1
Ian Goldup,1
J Hamilton,1
J Robinson,1
Joan Broadbridge,1
John Sleightholme,1
Katy Thorne,1
Kevin Paul Sutton,1
Martin Gotheridge,1
Miss Naomi Rees,1
Michael Kendall,1
