year,overdue,pending,received
2013.0,1,0,3
2014.0,8,0,15
2015.0,131,0,97
2016.0,423,0,284
2017.0,404,0,265
2018.0,338,0,268
2019.0,505,0,365
2020.0,193,0,239
2021.0,122,0,272
2022.0,150,0,197
2023.0,130,104,91
