coroner_name,count
Miss Sophie Cartwright KC,4
Miss Miss Briony Ballard,4
Mr Paul Kelly,4
Mr James Newman,4
Mr Jonathan David Leach,4
Robert Turnbull,4
Mr David Pojur,4
Paul Bennett,4
Ms Fiona Borrill,4
Mr Peter Sigee,4
Mr Simon Milburn,4
Mr Heath Westerman,4
Miss Fiona Butler,3
Mr Stephen Covell,3
Miss Lorna Jane Skinner QC,3
Mrs Anita Bhardwaj,3
Mr Neil Cameron,3
Mr Nicholas Graham,3
Mr Stephen George Eccleston,3
Anthony Howard,3
Christopher Sutton-Mattocks,3
Christina Swann,3
Mr Robert Cohen,3
Ms Rebecca Margaret COBB,3
Miss Karin Elizabeth Welsh,3
Kate Ainge,3
Claire Hammond,3
Mr Philip Anthony Holden,3
Claire Balysz,3
Philip Sharp,3
Ms Catherine Cundy,3
Mr Scott Matthewson,3
Mrs Sarah L. Whitby,3
Mr Graham Rollason Danbury,3
Ms Gilva Dagmar Jane Tisshaw,3
Ms Heather Williams,3
Mrs Lauren Costello,3
Tom Leeper,3
Gail Elliman,3
Andrew Thompson,3
Ms Deborah Archer,3
Ms Kally Cheema,3
Mr Delroy Henry,3
Ms Allison SUMMERS,3
Mrs kirsten heaven,3
Mr Sheriff S Payne,3
Dr Leslie Hamilton,3
Ms Gemma Brannigan,3
Julian Fox,2
Ms Elizabeth Gray,2
David Skipp,2
Karon Monaghan,2
Dr Peter Henry Straker,2
Dr Rashid Sohail,2
Ms Angharad Davies,2
Dr Murray James Spittal,2
Mrs Rosamund Rhodes-Kemp,2
Mrs Samantha Goward,2
Ms Fiona King,2
Mr Tom Stoate,2
Debbie Rookes,2
Mrs Rebecca Ollivere,2
John Woolley,2
Dr Edward Patrick Morgan KC,2
Dr Alexander Robert Walker Forrest,2
Janet Napier,2
Mrs Helen Rachel Redman,2
Ms Kate Robertson,2
HHJ Mark Lucraft QC,2
Ian Boyes,2
Mrs Claire Welch,2
Mrs Catharine Palmer,2
Ms Vanessa McKinlay,2
Timothy H Ratcliffe,2
Angela Hodes,2
Sara Lewis,2
Miss Sabyta Kaushal,2
Mr Lincoln Brookes,2
Mr Alan James Blunsdon,2
Mr Andrew David Cousins,2
Rosemary Jane Baxter,2
Anthony Curzon,2
Anthony Eastwoods,2
Mr Anthony Mazzag,2
Mr Christopher Briggs,2
Mr Nicholas H Lane,2
Raymond Curtis,2
Richard Furniss,2
Michael Oakley,2
Mr David Heming,2
Maria Mulrennan,2
William R Morris,2
Mr Gareth Lewis,2
Mark Layton,2
William Coverdale,2
Mr Duncan James Ritchie,2
Mr Dewi Pritchard Jones,2
Miss Sarah Watson,2
William Armstrong,2
Mr RAVI SIDHU,2
Mr Darren Stewart OBE,2
Paul O'Donnell,2
Steve Eccleston,1
Sir Peter Thornton QC,1
Trevor Kirkland,1
Siobhan Kelly,1
Dr Anton van Dellen,1
Simon Ward,1
Alison Owen,1
Simon Allen,1
Alison Longhorn,1
Dr Daniel Sharpstone,1
Ms Jan Alam,1
Timothy Holloway,1
Dominic Bell,1
Sian Scott Jones,1
Sean Horstead,1
Ms Susan Ridge,1
Ms Sophie Lomas,1
C W Malcolm Donnelly,1
Neil Joseph Cronin,1
Nicholas Gardiner,1
Christopher Williams,1
Dr Jeane Rosa Mellani,1
Pail O'Donnell,1
Philip Rogers,1
Pritchard Jones,1
Rachael Griffith,1
Dame Linda Dobbs,1
David Bowen,1
David James,1
David Llewelyn,1
Ms Myfanwy Buckeridge,1
Roger Barkley,1
Dewi Pritchard,1
Sam Faulks,1
Ms Leanne Woods,1
Cdr. Richard Marshall RN,1
Ms Katrina Hepburn,1
Sarah Huntbach,1
PS Cooper,1
Mr Edward Ramsay,1
Ms Amy Street,1
Miss Caroline Margaret Jones,1
Mr Keith Morton QC,1
Miss Naomi Rees,1
Mr Martin Douglas Oldham,1
Miss Louise E Rae,1
Mr Matthew Kewley,1
Mr Michael Louis Sheridan Mellun,1
Mr Michael Walsh,1
Miss Laura Nash,1
Mr Nicholas Mark Flanagan,1
Mr Nick Seán Stanage,1
Miss Janine Wolstenholme,1
Miss Janine Richards,1
Mr Paul B Matthews,1
Miss Georgina Nolan,1
Mr Paul John Rogers,1
Miss Georgina Gibbs,1
Mr Peter Brunton,1
Mr Joseph Turner,1
Mr Joseph Hart,1
Mr Jonathan Richard Heath,1
Mr Ivan Cartwright,1
Mr Edmund Gritt,1
Mr Geoffrey M. Saul,1
Mr HG Mark Bricknell,1
Mr Ian Christopher James Dreelan,1
Mr DAVID MORRIS,1
Mr Craig Smith,1
Alison Hewitt,1
Mr Jake Taylor,1
Mr Jonathan Dixey,1
Mr James Hargan,1
Mr Andrew M Bradley,1
Mr James Jerome Dillon,1
Mr Adam Smith,1
Mr John Joseph Buckley,1
Mr John Matthews,1
Miss Sarah Riley,1
Miss Clare Doherty,1
Mr Richard G Taylor,1
Dr Marc Lindsey Leeming,1
Michael Snell,1
Mrs Charlotte Keighley,1
Henrietta Hills QC,1
HHJ Loraine-Smith,1
HHJ Keith Cutler CBE,1
HH Judge Munro QC,1
HH Judge Mark Lucraft QC,1
Mrs Jo Wharton,1
Geoffrey Tomalin,1
Fiona Malek,1
Eric Armstrong,1
Mrs LINDA KAREN HADFIELD LEE,1
Elizabeth Pygott,1
Elaine Moloney,1
Edward Solomons,1
Dr Séan Cummings,1
Dr Samuel Bass,1
Dr R N Palmer,1
Mr Edward Steele,1
Ian Goldup,1
J Hamilton,1
Katy Thorne,1
Michael Kendall,1
Martin Gotheridge,1
ME Hessel,1
Louise Slater,1
Mr Simon Nicholas Burge,1
Laura Wendy Johnson,1
Kevin Paul Sutton,1
Mr Tim Deeming,1
J Robinson,1
Mr Tony Badenoch,1
John Sleightholme,1
Mr Xavier Mooyaart,1
Joan Broadbridge,1
Jenny Goldring,1
Mr james puzey,1
Mrs Angela Carol Brocklehurst,1
Yvonne Blake,1
